Number of blocks,Time,Algorithm
34,0.0,US
34,0.0,US
34,0.0,US
34,0.0,US
34,0.0,US
34,1.0001659393310547,US
35,0.0,US
35,0.0,US
35,0.0,US
35,0.0,US
35,0.0,US
35,0.0,US
35,1.0004043579101562,US
35,0.0,US
35,0.0,US
35,0.0,US
3500,11.002302169799805,US
3500,12.002706527709961,US
3500,11.002063751220703,US
3500,11.002540588378906,US
3500,11.002779006958008,US
3500,30.0140380859375,US
3500,11.002540588378906,US
3500,11.002540588378906,US
3500,10.002374649047852,US
3500,11.002302169799805,US
36,0.0,US
36,1.001596450805664,US
36,0.0,US
36,0.0,US
36,0.0,US
36,0.0,US
36,0.0,US
36,0.0,US
36,0.0,US
36,0.9989738464355469,US
37,0.0,US
37,0.0,US
37,0.0,US
37,0.0,US
37,0.0,US
37,0.0,US
37,0.0,US
37,0.0,US
37,0.0,US
37,0.0,US
3750,33.00738334655762,US
3750,12.00246810913086,US
3750,12.00246810913086,US
3750,11.002779006958008,US
3750,33.006906509399414,US
3750,11.002302169799805,US
3750,11.003255844116211,US
3750,12.002706527709961,US
3750,34.00778770446777,US
3750,12.003183364868164,US
38,0.0,US
38,0.0,US
38,0.0,US
38,0.0,US
38,0.0,US
38,0.0,US
38,0.0,US
38,0.9992122650146484,US
38,0.0,US
38,0.0,US
39,0.0,US
39,0.0,US
39,0.0,US
39,1.0004043579101562,US
39,0.0,US
39,0.0,US
39,0.0,US
39,0.0,US
39,0.0,US
39,0.0,US
4,0.0,US
4,0.0,US
4,0.0,US
4,0.0,US
4,0.0,US
4,0.0,US
4,0.0,US
4,0.0,US
4,0.0,US
4,0.0,US
40,0.0,US
40,0.0,US
40,0.0,US
40,0.0,US
40,0.0,US
40,1.0001659393310547,US
40,0.0,US
40,0.0,US
40,0.0,US
40,0.0,US
4000,13.002634048461914,US
4000,12.00246810913086,US
4000,34.00754928588867,US
4000,12.002944946289062,US
4000,13.002872467041016,US
4000,12.002706527709961,US
4000,35.00771522521973,US
4000,13.002395629882812,US
4000,12.002944946289062,US
4000,12.002944946289062,US
41,0.0,US
41,0.0,US
41,0.0,US
41,0.0,US
41,0.0,US
41,0.0,US
41,0.0,US
41,0.0,US
41,0.0,US
41,0.0,US
42,0.0,US
42,0.0,US
42,0.0,US
42,0.0,US
42,0.0,US
42,0.0,US
42,0.0,US
42,0.0,US
42,0.0,US
42,0.0,US
4250,35.00652313232422,US
4250,13.002395629882812,US
4250,13.003110885620117,US
4250,13.002872467041016,US
4250,34.00778770446777,US
4250,13.002872467041016,US
4250,13.006210327148438,US
4250,13.003110885620117,US
4250,14.003276824951172,US
4250,13.002395629882812,US
43,0.0,US
43,0.0,US
43,0.0,US
43,0.0,US
43,1.0001659393310547,US
43,0.0,US
43,0.0,US
43,0.0,US
43,0.0,US
43,0.0,US
44,1.0006427764892578,US
44,0.0,US
44,0.0,US
44,0.0,US
44,0.0,US
44,0.0,US
44,0.0,US
44,0.9996891021728516,US
44,0.0,US
44,0.0,US
45,0.0,US
45,0.0,US
45,0.0,US
45,0.0,US
45,0.0,US
45,0.0,US
45,0.0,US
45,0.0,US
45,0.0,US
45,0.9996891021728516,US
4500,14.00303840637207,US
4500,35.00723838806152,US
4500,14.003515243530273,US
4500,14.002561569213867,US
4500,14.002323150634766,US
4500,14.003992080688477,US
4500,14.003515243530273,US
4500,14.003276824951172,US
4500,34.00778770446777,US
4500,14.00303840637207,US
46,0.0,US
46,0.0,US
46,0.0,US
46,0.0,US
46,0.0,US
46,0.9996891021728516,US
46,0.0,US
46,0.0,US
46,0.0,US
46,0.0,US
47,0.0,US
47,1.0004043579101562,US
47,0.0,US
47,0.0,US
47,0.0,US
47,0.0,US
47,0.0,US
47,0.9999275207519531,US
47,0.0,US
47,0.0,US
4750,15.002727508544922,US
4750,15.003204345703125,US
4750,15.003442764282227,US
4750,14.003276824951172,US
4750,15.003442764282227,US
4750,35.007476806640625,US
4750,15.003681182861328,US
